INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960309,1209,마늘,0,0,1209,1103.6,0
19960309,1201,양파,0,-8.333,1201,480,685
19960309,1202,대파,0,-6.452,1202,775,1333
19960310,1001,배추,0,9.091,1001,1466.667,1821
19960310,1101,무,0,0,1101,0,1229
19960310,1207,건고추,0,0.394,1207,5442.86,6367
19960310,1209,마늘,0,0,12A9,0,2804
19960310,1209,마늘,0,0,1209,1103.6,0
19960310,1201,양파,0,-8.333,1201,480,685
19960310,1202,대파,0,-6.452,1202,775,1333
19960311,1001,배추,0,16.19,1001,1750,1938
19960311,1101,무,0,0,1101,0,1279
19960311,1207,건고추,0,0.394,1207,5442.86,6367
19960311,1209,마늘,0,0,12A9,0,2804
19960311,1209,마늘,0,0,1209,1103.6,0
19960311,1201,양파,0,0,1201,480,694
19960311,1202,대파,0,-14.815,1202,675,1300
19960312,1001,배추,0,-1.942,1001,1716.667,1954
19960312,1101,무,0,0,1101,0,1288
19960312,1207,건고추,0,0,1207,5442.86,6367
19960312,1209,마늘,0,0,12A9,0,2796
19960312,1209,마늘,0,-0.657,1209,1096.4,0
19960312,1201,양파,0,0,1201,480,703
19960312,1202,대파,0,0,1202,675,1300
19960313,1001,배추,0,0,1001,1716.667,1992
19960313,1101,무,0,0,1101,0,1296
19960313,1207,건고추,0,0,1207,5442.86,6367
19960313,1209,마늘,0,0,12A9,0,2796
19960313,1209,마늘,0,-0.32,1209,1092.9,0
19960313,1201,양파,0,-11.628,1201,430,707
19960313,1202,대파,0,0,1202,675,1275
19960314,1001,배추,0,0,1001,1716.667,2000
19960314,1101,무,0,0,1101,0,1296
19960314,1207,건고추,0,0,1207,5442.86,6367
19960314,1209,마늘,0,0,12A9,0,2796
19960314,1209,마늘,0,0,1209,1092.9,0
19960314,1201,양파,0,0,1201,430,706
19960314,1202,대파,0,0,1202,675,1271
19960315,1001,배추,0,6.364,1001,1833.333,2008
19960315,1101,무,0,0,1101,0,1304
19960315,1207,건고추,0,0,1207,5442.86,6400
19960315,1209,마늘,0,0,12A9,0,2796
